                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2 
                                 "12778"                               "gfortran"                                  "9.2.0"                    "x86_64-linux-20.3.2"                                 "CRMATH"                               "20201107"                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79                                       80                                       81                                       82                                       83                                       84                                       85                                       86                                       87                                       88                                       89                                       90                                       91                                       92                                       93                                       94                                       95                                       96                                       97                                       98                                       99                                      100                                      101                                      102                                      103                                      104                                      105                                      106                                      107                                      108                                      109                                      110                                      111                                      112                                      113                                      114                                      115                                      116                                      117                                      118                                      119                                      120                                      121                                      122                                      123                                      124                                      125                                      126                                      127                                      128                                      129                                      130                                      131                                      132                                      133                                      134                                      135                                      136                                      137                                      138                                      139                                      140                                      141                                      142                                      143                                      144                                      145                                      146                                      147                                      148                                      149                                      150                                      151                                      152                                      153                                      154                                      155                                      156                                      157                                      158                                      159                                      160                                      161                                      162                                      163                                      164                                      165                                      166                                      167                                      168                                      169                                      170                                      171                                      172                                      173                                      174                                      175                                      176                                      177                                      178                                      179                                      180                                      181                                      182                                      183                                      184                                      185                                      186                                      187                                      188                                      189                                      190                                      191                                      192                                      193                                      194                                      195                                      196                                      197                                      198                                      199                                      200                                      201                                      202                                      203                                      204                                      205                                      206                                      207                                      208                                      209                                      210                                      211                                      212                                      213                                      214                                      215                                      216                                      217                                      218                                      219                                      220                                      221                                      222                                      223                                      224                                      225                                      226                                      227                                      228                                      229                                      230                                      231                                      232                                      233                                      234                                      235                                      236                                      237                                      238                                      239                                      240                                      241                                      242                                      243                                      244                                      245                                      246                                      247                                      248                                      249                                      250                                      251                                      252                                      253                                      254                                      255                                      256                                      257                                      258                                      259                                      260                                      261                                      262                                      263                                      264                                      265                                      266                                      267                                      268                                      269                                      270                                      271                                      272                                      273                                      274                                      275                                      276                                      277                                      278                                      279                                      280                                      281                                      282                                      283                                      284                                      285                                      286                                      287                                      288                                      289                                      290                                      291                                      292                                      293                                      294                                      295                                      296                                      297                                      298                                      299                                      300                                      301                                      302                                      303                                      304                                      305                                      306                                      307                                      308                                      309                                      310                                      311                                      312                                      313                                      314                                      315                                      316                                      317                                      318                                      319                                      320                                      321                                      322                                      323                                      324                                      325 
                            model_number                                 star_age                                star_mass                             log_abs_mdot                log_rotational_mdot_boost                                   log_dt                                num_zones               log_total_angular_momentum                         log_max_residual                        log_residual_norm                    num_newton_iterations                                rel_E_err                            log_rel_E_err                        log_rel_run_E_err                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                             kh_timescale                                   log_LH                                  log_LHe                                    log_L                               luminosity                                 log_Teff                              effective_T                                    log_R                                    log_g                           surf_avg_j_rot                           surf_avg_omega                      surf_avg_omega_crit            surf_avg_omega_div_omega_crit                           surf_avg_v_rot                          surf_avg_v_crit                    surf_avg_v_div_v_crit                   surf_avg_Lrad_div_Ledd                             log_center_T                           log_center_Rho                             log_center_P                             center_omega              center_omega_div_omega_crit                                center_ye                           center_entropy                              surface_he4                              surface_c12                              surface_n14                              surface_o16                                center_h1                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                              center_si28                               center_s32                              center_ar36                              center_ca40                              center_fe54                              center_fe56                              center_ni56                              center_cr56                           log_average_h1                           log_average_h2                          log_average_he3                          log_average_he4                          log_average_li7                               mix_type_1                               mix_qtop_1                               mix_type_2                               mix_qtop_2                               mix_type_3                               mix_qtop_3                               mix_type_4                               mix_qtop_4                               mix_type_5                               mix_qtop_5                               mix_type_6                               mix_qtop_6                               mix_type_7                               mix_qtop_7                               mix_type_8                               mix_qtop_8                               mix_type_9                               mix_qtop_9                              mix_type_10                              mix_qtop_10                              mix_type_11                              mix_qtop_11                              mix_type_12                              mix_qtop_12                              mix_type_13                              mix_qtop_13                              mix_type_14                              mix_qtop_14                              mix_type_15                              mix_qtop_15                              mix_type_16                              mix_qtop_16                              mix_type_17                              mix_qtop_17                              mix_type_18                              mix_qtop_18                              mix_type_19                              mix_qtop_19                              mix_type_20                              mix_qtop_20                              mix_type_21                              mix_qtop_21                              mix_type_22                              mix_qtop_22                              mix_type_23                              mix_qtop_23                              mix_type_24                              mix_qtop_24                              mix_type_25                              mix_qtop_25                              mix_type_26                              mix_qtop_26                              mix_type_27                              mix_qtop_27                              mix_type_28                              mix_qtop_28                              mix_type_29                              mix_qtop_29                              mix_type_30                              mix_qtop_30                              mix_type_31                              mix_qtop_31                              mix_type_32                              mix_qtop_32                              mix_type_33                              mix_qtop_33                              mix_type_34                              mix_qtop_34                              mix_type_35                              mix_qtop_35                              mix_type_36                              mix_qtop_36                              mix_type_37                              mix_qtop_37                              mix_type_38                              mix_qtop_38                              mix_type_39                              mix_qtop_39                              mix_type_40                              mix_qtop_40                              burn_type_1                              burn_qtop_1                              burn_type_2                              burn_qtop_2                              burn_type_3                              burn_qtop_3                              burn_type_4                              burn_qtop_4                              burn_type_5                              burn_qtop_5                              burn_type_6                              burn_qtop_6                              burn_type_7                              burn_qtop_7                              burn_type_8                              burn_qtop_8                              burn_type_9                              burn_qtop_9                             burn_type_10                             burn_qtop_10                             burn_type_11                             burn_qtop_11                             burn_type_12                             burn_qtop_12                             burn_type_13                             burn_qtop_13                             burn_type_14                             burn_qtop_14                             burn_type_15                             burn_qtop_15                             burn_type_16                             burn_qtop_16                             burn_type_17                             burn_qtop_17                             burn_type_18                             burn_qtop_18                             burn_type_19                             burn_qtop_19                             burn_type_20                             burn_qtop_20                             burn_type_21                             burn_qtop_21                             burn_type_22                             burn_qtop_22                             burn_type_23                             burn_qtop_23                             burn_type_24                             burn_qtop_24                             burn_type_25                             burn_qtop_25                             burn_type_26                             burn_qtop_26                             burn_type_27                             burn_qtop_27                             burn_type_28                             burn_qtop_28                             burn_type_29                             burn_qtop_29                             burn_type_30                             burn_qtop_30                             burn_type_31                             burn_qtop_31                             burn_type_32                             burn_qtop_32                             burn_type_33                             burn_qtop_33                             burn_type_34                             burn_qtop_34                             burn_type_35                             burn_qtop_35                             burn_type_36                             burn_qtop_36                             burn_type_37                             burn_qtop_37                             burn_type_38                             burn_qtop_38                             burn_type_39                             burn_qtop_39                             burn_type_40                             burn_qtop_40                             burn_type_41                             burn_qtop_41                             burn_type_42                             burn_qtop_42                             burn_type_43                             burn_qtop_43                             burn_type_44                             burn_qtop_44                             burn_type_45                             burn_qtop_45                             burn_type_46                             burn_qtop_46                             burn_type_47                             burn_qtop_47                             burn_type_48                             burn_qtop_48                             burn_type_49                             burn_qtop_49                             burn_type_50                             burn_qtop_50                             burn_type_51                             burn_qtop_51                             burn_type_52                             burn_qtop_52                             burn_type_53                             burn_qtop_53                             burn_type_54                             burn_qtop_54                             burn_type_55                             burn_qtop_55                             burn_type_56                             burn_qtop_56                             burn_type_57                             burn_qtop_57                             burn_type_58                             burn_qtop_58                             burn_type_59                             burn_qtop_59                             burn_type_60                             burn_qtop_60                             burn_type_61                             burn_qtop_61                             burn_type_62                             burn_qtop_62                             burn_type_63                             burn_qtop_63                             burn_type_64                             burn_qtop_64                             burn_type_65                             burn_qtop_65                             burn_type_66                             burn_qtop_66                             burn_type_67                             burn_qtop_67                             burn_type_68                             burn_qtop_68                             burn_type_69                             burn_qtop_69                             burn_type_70                             burn_qtop_70                             burn_type_71                             burn_qtop_71                             burn_type_72                             burn_qtop_72                             burn_type_73                             burn_qtop_73                             burn_type_74                             burn_qtop_74                             burn_type_75                             burn_qtop_75                             burn_type_76                             burn_qtop_76                             burn_type_77                             burn_qtop_77                             burn_type_78                             burn_qtop_78                             burn_type_79                             burn_qtop_79                             burn_type_80                             burn_qtop_80                        v_div_csound_surf                              num_retries                              num_backups 
                                     705                  7.0971968179179830E+006                  2.5000000000000000E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.9436110354543557E+000                                     1355                 -9.8999999999999986E+001                 -8.7379763357514477E+000                 -1.2102726282844506E+001                                        8                  2.7436055796947971E-013                 -1.2561678322584145E+001                 -3.6002215229072627E+000                  9.9975781354762172E-001                  3.6347848130973792E-001                  1.9944975845647445E-001                  9.5592168931987423E-002                  9.9982070225195496E-001                  3.6004645981249961E-001                  1.9944975845647445E-001                  9.1910615466419043E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.4351414740508327E+033                  1.0597612834689301E+034                  1.2011791254287039E+034                  1.2050856843683724E+034                  1.4878174827897301E+034                  1.5148979117359738E+034                  9.0828233749547351E+000                  6.5494288904495441E+000                  6.5928785553145515E+000                  7.7015701143103665E-001                  0.0000000000000000E+000                  6.4412827193830068E+001                  4.4955897884246337E-001                  8.6476681324598825E+000                  5.4382811526380781E+000                  2.7433495810030552E+005                  3.6615966853075510E+000                  4.5877176902182264E+003                  2.9192060421565640E+000                 -2.5827222279654152E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.3484538629444263E+000                  6.6115240658553249E+000                  2.3719706827443733E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.9995731978584357E-001                  2.4876357713567345E+000                  2.7997020236474846E-001                  3.4416073257059090E-003                  1.0081585205319787E-003                  9.3604492797742106E-003                  2.5928388286404415E-032                  1.0033926199889388E-011                  1.2145465269111054E-008                  2.9925016777605040E-018                  9.8554379435299794E-002                  5.3763127373489619E-006                  4.0077519771507819E-001                  3.6823016062470409E-001                  8.1679393871949849E-002                  4.8642536886590725E-002                  7.0677148452871199E-005                  1.1583985805405075E-003                  2.3368946967043408E-012                  0.0000000000000000E+000                 -4.1459562850350534E-001                 -9.8999999999999986E+001                 -5.0083738542398279E+000                 -4.8127052688265093E-001                 -9.8999999999999986E+001                                        1                  2.8733455558586626E-002                                        3                  3.1941159499492465E-002                                        0                  9.1910615466419043E-002                                        3                  9.5592168931987423E-002                                        1                  2.0070717645019764E-001                                        0                  2.6199209941805240E-001                                        3                  2.6208078229715986E-001                                        2                  2.6210767563111653E-001                                        1                  2.6359628814645536E-001                                        3                  2.6445938528260582E-001                                        1                  3.0067692084598618E-001                                        0                  3.1460001074330807E-001                                        4                  3.1549663561826435E-001                                        2                  3.1718252242652661E-001                                        1                  3.2099607664201263E-001                                        3                  3.2099906483904045E-001                                        1                  3.4888977064657478E-001                                        3                  3.4948050331088859E-001                                        0                  3.6004645981249961E-001                                        4                  3.6069575456469333E-001                                        3                  3.6078005441787941E-001                                        1                  3.6307227737904058E-001                                        3                  3.6347848130973792E-001                                        1                  9.9977337558504886E-001                                        4                  9.9982070225195496E-001                                        3                  9.9985151582799436E-001                                        0                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       12                  1.9283220013706676E-004                                       11                  1.0924690851984969E-003                                      -11                  2.1933238249252085E-003                                      -12                  2.6469543212991886E-002                                      -11                  9.3281271889079614E-002                                       11                  9.4706081610943016E-002                                       12                  9.7765416238255687E-002                                       11                  1.0726897071586387E-001                                       10                  1.1022437393046967E-001                                        9                  1.1069070148409746E-001                                       -9                  1.1131430424381744E-001                                      -10                  1.4178775953888006E-001                                       -9                  1.6660275430814903E-001                                       -8                  1.8669408725719666E-001                                       -7                  2.0191445085078435E-001                                       -6                  2.2229713987621030E-001                                       -5                  2.4231672329332760E-001                                       -4                  2.4293497863310959E-001                                        5                  2.4346859338356000E-001                                        6                  2.4444633790807943E-001                                        7                  2.4605342507027814E-001                                        8                  2.6090281587445396E-001                                        7                  2.6113476793201512E-001                                        8                  2.6188524601199253E-001                                        9                  2.6189335220320542E-001                                       10                  2.6949483354709819E-001                                        9                  2.7513534842849630E-001                                        8                  2.8048162952153571E-001                                        7                  2.8553234166146868E-001                                        6                  2.9029451098775577E-001                                        5                  2.9476332899963076E-001                                        4                  2.9897191356097480E-001                                        3                  3.0314566523681558E-001                                        2                  3.0667256008909322E-001                                        1                  3.0915412117042546E-001                                        0                  3.5036730273606820E-001                                        1                  3.5091098820369721E-001                                        2                  3.5208028953525822E-001                                        3                  3.5292028270569004E-001                                        2                  3.5411965091139969E-001                                        1                  3.5487843487827736E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  0.0000000000000000E+000                                        0                                        0 
                                     710                  7.0971968241100293E+006                  2.5000000000000000E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -3.0772887587564033E+000                                      816                 -9.8999999999999986E+001                 -8.1850514374036205E+000                 -1.1358565332308837E+001                                        8                 -1.0222588358158920E-005                 -4.9904391269663373E+000                 -3.3907427831762300E+000                  9.9975781354762183E-001                  3.6347800090120375E-001                  2.0614401280199174E-001                  9.5592116364482269E-002                  9.9982044883194754E-001                  3.6004611254768287E-001                  2.0614401280199174E-001                  9.2560806100770499E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9070019793770521E+033                  1.0889958830885430E+034                  1.2013203279216938E+034                  1.2013203279216938E+034                  1.4962159238357067E+034                  1.5228132562961813E+034                  9.0828233745185063E+000                  6.5490797934807201E+000                  6.5929281272871165E+000                  7.9808912163811740E-001                  0.0000000000000000E+000                  6.4423262202157659E+001                  5.0494614250157810E-001                  8.8694390089004553E+000                  5.4382129854477865E+000                  2.7429190165700554E+005                  3.6615807353580361E+000                  4.5875492042601581E+003                  2.9192038584604467E+000                 -2.5783548357310891E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.3854921197900598E+000                  6.8504676725801144E+000                  2.3996904538515956E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.9995731976130431E-001                  2.1999551308412109E+000                  2.7997020236474840E-001                  3.4416073257059116E-003                  1.0081585205319785E-003                  9.3604492797742106E-003                  8.0806796638731283E-032                  3.1295964573588060E-010                  9.6246262232984814E-008                  3.0311013250787395E-028                  1.3634528452332824E-002                  2.0854251953003899E-007                  4.5039367289740412E-001                  3.7592030209240807E-001                  7.0745591689720555E-002                  8.8051770452259426E-002                  7.2575673742326675E-005                  1.1574147888348035E-003                  2.4115976036692304E-011                  0.0000000000000000E+000                 -4.1459562850351328E-001                 -9.8999999999999986E+001                 -5.0083738542397009E+000                 -4.8127057457003114E-001                 -9.8999999999999986E+001                                        2                  2.4369242705411628E-002                                        1                  3.0328581421925009E-002                                        3                  3.1037474063360826E-002                                        0                  3.1280993125221965E-002                                        4                  3.1848688089528732E-002                                        0                  9.2560806100770499E-002                                        3                  9.5592116364482269E-002                                        1                  2.0838201586593902E-001                                        0                  2.6199209941805390E-001                                        1                  2.6359477724331065E-001                                        3                  2.6435081260624071E-001                                        1                  3.1288432584564430E-001                                        3                  3.1465770693244399E-001                                        1                  3.2252148366348266E-001                                        3                  3.2389708663123201E-001                                        1                  3.3307920057015800E-001                                        3                  3.3307994225642396E-001                                        1                  3.3516149613104146E-001                                        3                  3.3546809996479598E-001                                        4                  3.3609384563773265E-001                                        0                  3.3840835977965211E-001                                        1                  3.3999534674730864E-001                                        3                  3.4036402080195288E-001                                        4                  3.4074345835173525E-001                                        0                  3.4209075254628651E-001                                        4                  3.4247322941934522E-001                                        0                  3.4529434995469654E-001                                        4                  3.4586894128077711E-001                                        0                  3.4749065278840491E-001                                        4                  3.4851075568949269E-001                                        0                  3.6004611254768287E-001                                        1                  3.6307606199321457E-001                                        3                  3.6347800090120375E-001                                        1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                      -12                  3.0328601421629797E-002                                      -11                  6.1194892895273051E-002                                       11                  6.6313137070077674E-002                                      -11                  7.1699831170902784E-002                                       11                  8.0044016086197323E-002                                      -10                  8.2881795512425638E-002                                      -11                  9.3938242469331620E-002                                       12                  1.0570020187306606E-001                                       11                  1.1453195034745953E-001                                       -9                  1.1972436965282446E-001                                      -10                  1.5017253168971262E-001                                       -9                  1.7400926932206656E-001                                       -8                  1.9424838502673519E-001                                       -7                  2.0870782826699358E-001                                       -6                  2.2658459875625753E-001                                       -5                  2.4145922796846658E-001                                       -4                  2.4329194304086746E-001                                        7                  2.4479502193899466E-001                                        8                  2.4730249858667225E-001                                        9                  2.5585372167111486E-001                                        8                  2.6176928894641427E-001                                        9                  2.6189283822864767E-001                                       10                  2.6199713249050149E-001                                       11                  2.6272870838435414E-001                                       10                  2.6368167984609403E-001                                       11                  2.6494668699118901E-001                                       10                  2.7095274819558718E-001                                        9                  2.7656768481789673E-001                                        8                  2.8188676561158715E-001                                        7                  2.8680414781909863E-001                                        6                  2.9150520701611926E-001                                        5                  2.9599531553504221E-001                                        4                  3.0016769540057525E-001                                        3                  3.0404076353266379E-001                                        2                  3.0783880972570132E-001                                        1                  3.1012561124980337E-001                                        0                  3.5029438231847054E-001                                        1                  3.5085960811661965E-001                                        2                  3.5194540622104103E-001                                        3                  3.5287370086616521E-001                                        2                  3.5411488684695175E-001                                        1                  3.5484329335851489E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  0.0000000000000000E+000                                        0                                        0 
