                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2 
                                 "12778"                               "gfortran"                                  "9.2.0"                    "x86_64-linux-20.3.2"                                 "CRMATH"                               "20201107"                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79                                       80                                       81                                       82                                       83                                       84                                       85                                       86                                       87                                       88                                       89                                       90                                       91                                       92                                       93                                       94                                       95                                       96                                       97                                       98                                       99                                      100                                      101                                      102                                      103                                      104                                      105                                      106                                      107                                      108                                      109                                      110                                      111                                      112                                      113                                      114                                      115                                      116                                      117                                      118                                      119                                      120                                      121                                      122                                      123                                      124                                      125                                      126                                      127                                      128                                      129                                      130                                      131                                      132                                      133                                      134                                      135                                      136                                      137                                      138                                      139                                      140                                      141                                      142                                      143                                      144                                      145                                      146                                      147                                      148                                      149                                      150                                      151                                      152                                      153                                      154                                      155                                      156                                      157                                      158                                      159                                      160                                      161                                      162                                      163                                      164                                      165                                      166                                      167                                      168                                      169                                      170                                      171                                      172                                      173                                      174                                      175                                      176                                      177                                      178                                      179                                      180                                      181                                      182                                      183                                      184                                      185                                      186                                      187                                      188                                      189                                      190                                      191                                      192                                      193                                      194                                      195                                      196                                      197                                      198                                      199                                      200                                      201                                      202                                      203                                      204                                      205                                      206                                      207                                      208                                      209                                      210                                      211                                      212                                      213                                      214                                      215                                      216                                      217                                      218                                      219                                      220                                      221                                      222                                      223                                      224                                      225                                      226                                      227                                      228                                      229                                      230                                      231                                      232                                      233                                      234                                      235                                      236                                      237                                      238                                      239                                      240                                      241                                      242                                      243                                      244                                      245                                      246                                      247                                      248                                      249                                      250                                      251                                      252                                      253                                      254                                      255                                      256                                      257                                      258                                      259                                      260                                      261                                      262                                      263                                      264                                      265                                      266                                      267                                      268                                      269                                      270                                      271                                      272                                      273                                      274                                      275                                      276                                      277                                      278                                      279                                      280                                      281                                      282                                      283                                      284                                      285                                      286                                      287                                      288                                      289                                      290                                      291                                      292                                      293                                      294                                      295                                      296                                      297                                      298                                      299                                      300                                      301                                      302                                      303                                      304                                      305                                      306                                      307                                      308                                      309                                      310                                      311                                      312                                      313                                      314                                      315                                      316                                      317                                      318                                      319                                      320                                      321                                      322                                      323                                      324                                      325 
                            model_number                                 star_age                                star_mass                             log_abs_mdot                log_rotational_mdot_boost                                   log_dt                                num_zones               log_total_angular_momentum                         log_max_residual                        log_residual_norm                    num_newton_iterations                                rel_E_err                            log_rel_E_err                        log_rel_run_E_err                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                             kh_timescale                                   log_LH                                  log_LHe                                    log_L                               luminosity                                 log_Teff                              effective_T                                    log_R                                    log_g                           surf_avg_j_rot                           surf_avg_omega                      surf_avg_omega_crit            surf_avg_omega_div_omega_crit                           surf_avg_v_rot                          surf_avg_v_crit                    surf_avg_v_div_v_crit                   surf_avg_Lrad_div_Ledd                             log_center_T                           log_center_Rho                             log_center_P                             center_omega              center_omega_div_omega_crit                                center_ye                           center_entropy                              surface_he4                              surface_c12                              surface_n14                              surface_o16                                center_h1                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                              center_si28                               center_s32                              center_ar36                              center_ca40                              center_fe54                              center_fe56                              center_ni56                              center_cr56                           log_average_h1                           log_average_h2                          log_average_he3                          log_average_he4                          log_average_li7                               mix_type_1                               mix_qtop_1                               mix_type_2                               mix_qtop_2                               mix_type_3                               mix_qtop_3                               mix_type_4                               mix_qtop_4                               mix_type_5                               mix_qtop_5                               mix_type_6                               mix_qtop_6                               mix_type_7                               mix_qtop_7                               mix_type_8                               mix_qtop_8                               mix_type_9                               mix_qtop_9                              mix_type_10                              mix_qtop_10                              mix_type_11                              mix_qtop_11                              mix_type_12                              mix_qtop_12                              mix_type_13                              mix_qtop_13                              mix_type_14                              mix_qtop_14                              mix_type_15                              mix_qtop_15                              mix_type_16                              mix_qtop_16                              mix_type_17                              mix_qtop_17                              mix_type_18                              mix_qtop_18                              mix_type_19                              mix_qtop_19                              mix_type_20                              mix_qtop_20                              mix_type_21                              mix_qtop_21                              mix_type_22                              mix_qtop_22                              mix_type_23                              mix_qtop_23                              mix_type_24                              mix_qtop_24                              mix_type_25                              mix_qtop_25                              mix_type_26                              mix_qtop_26                              mix_type_27                              mix_qtop_27                              mix_type_28                              mix_qtop_28                              mix_type_29                              mix_qtop_29                              mix_type_30                              mix_qtop_30                              mix_type_31                              mix_qtop_31                              mix_type_32                              mix_qtop_32                              mix_type_33                              mix_qtop_33                              mix_type_34                              mix_qtop_34                              mix_type_35                              mix_qtop_35                              mix_type_36                              mix_qtop_36                              mix_type_37                              mix_qtop_37                              mix_type_38                              mix_qtop_38                              mix_type_39                              mix_qtop_39                              mix_type_40                              mix_qtop_40                              burn_type_1                              burn_qtop_1                              burn_type_2                              burn_qtop_2                              burn_type_3                              burn_qtop_3                              burn_type_4                              burn_qtop_4                              burn_type_5                              burn_qtop_5                              burn_type_6                              burn_qtop_6                              burn_type_7                              burn_qtop_7                              burn_type_8                              burn_qtop_8                              burn_type_9                              burn_qtop_9                             burn_type_10                             burn_qtop_10                             burn_type_11                             burn_qtop_11                             burn_type_12                             burn_qtop_12                             burn_type_13                             burn_qtop_13                             burn_type_14                             burn_qtop_14                             burn_type_15                             burn_qtop_15                             burn_type_16                             burn_qtop_16                             burn_type_17                             burn_qtop_17                             burn_type_18                             burn_qtop_18                             burn_type_19                             burn_qtop_19                             burn_type_20                             burn_qtop_20                             burn_type_21                             burn_qtop_21                             burn_type_22                             burn_qtop_22                             burn_type_23                             burn_qtop_23                             burn_type_24                             burn_qtop_24                             burn_type_25                             burn_qtop_25                             burn_type_26                             burn_qtop_26                             burn_type_27                             burn_qtop_27                             burn_type_28                             burn_qtop_28                             burn_type_29                             burn_qtop_29                             burn_type_30                             burn_qtop_30                             burn_type_31                             burn_qtop_31                             burn_type_32                             burn_qtop_32                             burn_type_33                             burn_qtop_33                             burn_type_34                             burn_qtop_34                             burn_type_35                             burn_qtop_35                             burn_type_36                             burn_qtop_36                             burn_type_37                             burn_qtop_37                             burn_type_38                             burn_qtop_38                             burn_type_39                             burn_qtop_39                             burn_type_40                             burn_qtop_40                             burn_type_41                             burn_qtop_41                             burn_type_42                             burn_qtop_42                             burn_type_43                             burn_qtop_43                             burn_type_44                             burn_qtop_44                             burn_type_45                             burn_qtop_45                             burn_type_46                             burn_qtop_46                             burn_type_47                             burn_qtop_47                             burn_type_48                             burn_qtop_48                             burn_type_49                             burn_qtop_49                             burn_type_50                             burn_qtop_50                             burn_type_51                             burn_qtop_51                             burn_type_52                             burn_qtop_52                             burn_type_53                             burn_qtop_53                             burn_type_54                             burn_qtop_54                             burn_type_55                             burn_qtop_55                             burn_type_56                             burn_qtop_56                             burn_type_57                             burn_qtop_57                             burn_type_58                             burn_qtop_58                             burn_type_59                             burn_qtop_59                             burn_type_60                             burn_qtop_60                             burn_type_61                             burn_qtop_61                             burn_type_62                             burn_qtop_62                             burn_type_63                             burn_qtop_63                             burn_type_64                             burn_qtop_64                             burn_type_65                             burn_qtop_65                             burn_type_66                             burn_qtop_66                             burn_type_67                             burn_qtop_67                             burn_type_68                             burn_qtop_68                             burn_type_69                             burn_qtop_69                             burn_type_70                             burn_qtop_70                             burn_type_71                             burn_qtop_71                             burn_type_72                             burn_qtop_72                             burn_type_73                             burn_qtop_73                             burn_type_74                             burn_qtop_74                             burn_type_75                             burn_qtop_75                             burn_type_76                             burn_qtop_76                             burn_type_77                             burn_qtop_77                             burn_type_78                             burn_qtop_78                             burn_type_79                             burn_qtop_79                             burn_type_80                             burn_qtop_80                        v_div_csound_surf                              num_retries                              num_backups 
                                    1217                  7.0971968679453433E+006                  2.5000000000000000E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.3499111535878006E+001                                      792                 -9.8999999999999986E+001                 -1.1001810740736303E+001                 -1.3811904181797450E+001                                        3                  9.4332223137969145E-014                 -1.3025339930374429E+001                 -3.2045248700238607E+000                  9.9975781354762183E-001                  6.6152375417857845E-001                  6.5626472589438756E-001                  6.1642847101068587E-001                  9.9980511129308802E-001                  3.6480417381418023E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  9.0828203365516309E+000                  6.5500061253497330E+000                  6.5933402835412176E+000                  2.4619122578132360E+000                  1.8370177672043699E+000                  6.6268953071803125E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  5.4261194854062147E+000                  2.6675924857938732E+005                  3.6586443089105432E+000                  4.5566357052016920E+003                  2.9190299613346480E+000                 -2.2305605841329910E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.8504087110674394E+000                  8.9174606470188031E+000                  2.6607354369992514E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.6372074434846350E-001                  1.1284585669117404E+000                  2.7997020236474807E-001                  3.4416073257058743E-003                  1.0081585205319783E-003                  9.3604492797742019E-003                  2.0611859012373618E-027                  5.9343337458383867E-003                  2.3701094629194515E-007                  1.2852598264962855E-030                  7.6768128888968361E-008                  4.8664576782991115E-010                  1.7082469061289603E-007                  3.4783273434781508E-008                  5.7093701921320025E-009                  1.5443610666102627E-009                  1.2443674807399035E-004                  9.9210416344272601E-001                  6.3184897077926047E-011                  0.0000000000000000E+000                 -4.1307110410423520E-001                 -9.8999999999999986E+001                 -5.0083728492197670E+000                 -4.8139022267099268E-001                 -9.8999999999999986E+001                                        5                  1.8704431356673656E-002                                        0                  5.6501581759040909E-002                                        5                  6.3367878522123389E-002                                        0                  7.7617912588170801E-002                                        2                  8.1316763597097191E-002                                        1                  9.1260415997086480E-002                                        0                  1.0053160541183646E-001                                        1                  1.4883063238484479E-001                                        2                  1.5167898236444680E-001                                        1                  2.1415610075012426E-001                                        2                  2.1695491474476675E-001                                        1                  2.4514983939294352E-001                                        0                  2.6434296799690299E-001                                        1                  2.6839578880778625E-001                                        2                  2.9391149096270519E-001                                        1                  3.5578588986779347E-001                                        0                  3.6069575456468989E-001                                        2                  3.6461941236729928E-001                                        1                  4.3968512834518325E-001                                        2                  4.4439216447754559E-001                                        1                  4.8547677280458323E-001                                        2                  4.8866508714001977E-001                                        1                  4.9476022442855599E-001                                        2                  4.9751643783986527E-001                                        1                  5.0366626048906282E-001                                        2                  5.0878888349228435E-001                                        1                  5.2083139145627977E-001                                        2                  5.2300998952938926E-001                                        1                  5.3111577839157753E-001                                        2                  5.3281296860414973E-001                                        1                  5.6403846431504689E-001                                        2                  5.6729539942913509E-001                                        1                  5.7650904555017202E-001                                        2                  5.7790668831503877E-001                                        1                  6.1545803730910620E-001                                        2                  6.1642847101068587E-001                                        1                  6.5968338233482271E-001                                        2                  6.6152375417857845E-001                                        1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                      -14                  1.6584918996868092E-002                                      -15                  3.4345546391434612E-002                                      -14                  3.7134185842003231E-002                                      -15                  4.5218013055783768E-002                                      -14                  5.2738827384926523E-002                                      -15                  6.9039867986694092E-002                                      -14                  8.9309852929017441E-002                                      -13                  9.1260424832066478E-002                                      -14                  9.3210996735115514E-002                                      -13                  1.1612967692964155E-001                                      -12                  1.3930557413691996E-001                                      -11                  1.6220414215749329E-001                                      -10                  1.8174668237708952E-001                                       -9                  2.0076146745757822E-001                                       -8                  2.1422426158273972E-001                                       -7                  2.2658459875625286E-001                                       -6                  2.3881555873597921E-001                                       -5                  2.5450372832436668E-001                                       -4                  2.6756439474278876E-001                                       -3                  2.7761073704419620E-001                                       -2                  2.8759615926834231E-001                                       -1                  2.9764801222492393E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  2.5025697321495620E+001                                        0                                        0 
                                    1220                  7.0971968679453433E+006                  2.5000000000000000E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.3261567797735131E+001                                      762                 -9.8999999999999986E+001                 -1.1133612491320589E+001                 -1.3908558387132539E+001                                        2                  8.2778750426958027E-014                 -1.3082081133706856E+001                 -3.2045001996030997E+000                  9.9967259042230039E-001                  6.6152375417334386E-001                  6.5626472589438756E-001                  6.1642847100663267E-001                  9.9982704090683450E-001                  3.6461941236754764E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  9.0828203365516309E+000                  6.5500061253497330E+000                  6.5933402835412176E+000                  2.4619122578132360E+000                  1.8370177672043699E+000                  6.6320468251400982E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  5.4257820111317203E+000                  2.6655204029245913E+005                  3.6585599403417390E+000                  4.5557505926571412E+003                  2.9190299613350090E+000                 -2.2305605848550662E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.8504087210941247E+000                  8.9174606763821043E+000                  2.6607354409442063E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.6372074434846350E-001                  1.1284585664273743E+000                  2.7997020236474818E-001                  3.4416073257058748E-003                  1.0081585205319781E-003                  9.3604492797742002E-003                  2.0611859012373618E-027                  5.9343337458383867E-003                  2.3701094629194515E-007                  1.2852598264962855E-030                  7.6768128888968361E-008                  4.8664576782991115E-010                  1.7082469061289603E-007                  3.4783273434781508E-008                  5.7093701921320025E-009                  1.5443610666102627E-009                  1.2443674807399035E-004                  9.9210416344272601E-001                  6.3184897077926047E-011                  0.0000000000000000E+000                 -4.1307110408302500E-001                 -9.8999999999999986E+001                 -5.0083728492197581E+000                 -4.8139022264837655E-001                 -9.8999999999999986E+001                                        5                  1.8704431356673656E-002                                        0                  5.6501581759040909E-002                                        5                  6.3367878522123389E-002                                        0                  7.7617912588170801E-002                                        2                  9.1260424832066478E-002                                        0                  1.0204598627771938E-001                                        2                  2.4515037844066251E-001                                        0                  2.6434456583433336E-001                                        2                  3.5615123379045571E-001                                        0                  3.6069575456468989E-001                                        2                  3.6461941236754764E-001                                        1                  3.6849964668077806E-001                                        2                  3.7149871335415369E-001                                        1                  4.3968512834593415E-001                                        2                  4.4439216447759844E-001                                        1                  4.5390029926164238E-001                                        2                  4.5764304942997980E-001                                        1                  4.6316474560158855E-001                                        2                  4.6451413359210730E-001                                        1                  4.7814499710740066E-001                                        2                  4.8029611066656286E-001                                        1                  4.8547677280487533E-001                                        2                  4.8866508713872392E-001                                        1                  4.9476022442975837E-001                                        2                  4.9751643783883182E-001                                        1                  5.0366626048898155E-001                                        2                  5.0878888349026030E-001                                        1                  5.2083139145639357E-001                                        2                  5.2300998953065414E-001                                        1                  5.3111577839369450E-001                                        2                  5.3281296859974903E-001                                        1                  5.6403846431624172E-001                                        2                  5.6729539942573970E-001                                        1                  5.7650904555290927E-001                                        2                  5.7790668831183623E-001                                        1                  6.1545803731259996E-001                                        2                  6.1642847100663267E-001                                        1                  6.5968338234049650E-001                                        2                  6.6152375417334386E-001                                        1                  1.0000000000000000E+000                                      -14                  1.6584918996868092E-002                                      -15                  3.4345546391434612E-002                                      -14                  3.7134185842003231E-002                                      -15                  4.5218013055783768E-002                                      -14                  5.2738827384926523E-002                                      -15                  6.9039867986694092E-002                                      -14                  8.9309852929017441E-002                                      -13                  9.1260424832066478E-002                                      -14                  9.3210996735115514E-002                                      -13                  1.1612967692964155E-001                                      -12                  1.3930557413691996E-001                                      -11                  1.6220414215749329E-001                                      -10                  1.8174668237708952E-001                                       -9                  2.0076146745757822E-001                                       -8                  2.1422426158273972E-001                                       -7                  2.2658459875625286E-001                                       -6                  2.3881555873597921E-001                                       -5                  2.5450372832436668E-001                                       -4                  2.6756439474278876E-001                                       -3                  2.7761073704419620E-001                                       -2                  2.8759615926834231E-001                                       -1                  2.9764801222492393E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  1.2268636443792383E+001                                        0                                        0 
